
2022/08/13 (10:39:31) | INFO: Quitting! Runtime: 00:00:02

2022/08/13 (10:39:33) | ===> btop++ v.1.2.8
2022/08/13 (10:39:33) | INFO: Logger set to INFO
2022/08/13 (10:39:33) | INFO: Running on /dev/pts/1
2022/08/13 (10:39:39) | INFO: Quitting! Runtime: 00:00:06

2022/08/13 (10:40:25) | ===> btop++ v.1.2.8
2022/08/13 (10:40:25) | INFO: Logger set to INFO
2022/08/13 (10:40:25) | INFO: Running on /dev/pts/0
2022/08/13 (10:40:50) | INFO: Quitting! Runtime: 00:00:25

2022/08/13 (13:05:17) | ===> btop++ v.1.2.8
2022/08/13 (13:05:17) | INFO: Logger set to INFO
2022/08/13 (13:05:17) | INFO: Running on /dev/pts/0
2022/08/13 (13:05:22) | INFO: Quitting! Runtime: 00:00:05

2022/08/13 (13:05:23) | ===> btop++ v.1.2.8
2022/08/13 (13:05:23) | INFO: Logger set to INFO
2022/08/13 (13:05:23) | INFO: Running on /dev/pts/0
2022/08/13 (13:05:24) | INFO: Quitting! Runtime: 00:00:01

2022/08/13 (16:11:17) | ===> btop++ v.1.2.8
2022/08/13 (16:11:17) | INFO: Logger set to INFO
2022/08/13 (16:11:17) | INFO: Running on /dev/pts/0
2022/08/13 (16:11:21) | INFO: Quitting! Runtime: 00:00:04

2022/08/14 (17:49:18) | ===> btop++ v.1.2.8
2022/08/14 (17:49:18) | INFO: Logger set to INFO
2022/08/14 (17:49:18) | INFO: Running on /dev/pts/0
2022/08/14 (17:49:23) | INFO: Quitting! Runtime: 00:00:05

2022/08/14 (20:44:43) | ===> btop++ v.1.2.8
2022/08/14 (20:44:43) | INFO: Logger set to INFO
2022/08/14 (20:44:43) | INFO: Running on /dev/pts/1

2022/08/14 (20:45:31) | ===> btop++ v.1.2.8
2022/08/14 (20:45:31) | INFO: Logger set to INFO
2022/08/14 (20:45:31) | INFO: Running on /dev/pts/0
